subject,fitzpatrick,source,condition,codec,kbps,pix_fmt,lossless,detect_rate,window,method,ref_bpm,est_bpm,quality,confident,w_green,w_chrom,w_pos
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,chrom,77.2427690076677,76.90840923593214,0.4583569678360967,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,pos,77.2427690076677,77.10049444177703,0.47604823423094816,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,trace_v1,77.2427690076677,47.220691382007374,0.40811741016937547,True,0.7230578109216368,0.1505033216994068,0.12643886737895643
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,trace_v2,77.2427690076677,77.17947455118806,0.42924881984179225,True,0.2497435164845558,0.35455446745114294,0.3957020160643012
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,trace,77.2427690076677,77.17947455118806,0.42924881984179225,True,0.2497435164845558,0.35455446745114294,0.3957020160643012
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,pos_mask,77.2427690076677,77.42881318257687,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,pos_wiener,77.2427690076677,77.10081171126636,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,physnet,77.2427690076677,76.81138053542361,0.3057742001927993,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,3,factorizephys,77.2427690076677,77.02603019701053,0.4587140729006687,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,green,76.14910419902674,50.58144219121836,0.5936415912421886,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,ica,76.14910419902674,50.60798613898258,0.532071220096904,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,chrom,76.14910419902674,63.58924126717305,0.31020649605527517,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,pos,76.14910419902674,76.04177928601864,0.3248393417399662,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,trace_v1,76.14910419902674,50.58147301598891,0.48311038360076936,True,0.8274497825296429,0.0763161857909168,0.0962340316794404
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,trace_v2,76.14910419902674,75.43489921573655,0.36322875175753777,True,0.27658796917379297,0.35910817319672583,0.36430385762948125
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,trace,76.14910419902674,75.43489921573655,0.36322875175753777,True,0.27658796917379297,0.35910817319672583,0.36430385762948125
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,pos_mask,76.14910419902674,75.37400017968767,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,pos_wiener,76.14910419902674,76.04150839394636,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,physnet,76.14910419902674,77.06732036102011,0.40416295592275964,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,4,factorizephys,76.14910419902674,76.53158678954136,0.38664938693714135,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,green,75.45908678144175,50.70916077271614,0.4707782585278893,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,ica,75.45908678144175,50.7250269392989,0.4205320161793309,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,chrom,75.45908678144175,50.29455938733237,0.29907848365995726,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,pos,75.45908678144175,50.300130157388395,0.255552234113013,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,trace_v1,75.45908678144175,50.590601827574055,0.40407682115306826,True,0.6921105091455085,0.09603206983272672,0.21185742102176472
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,trace_v2,75.45908678144175,75.63758482334035,0.4342465111302255,True,0.21169713532304477,0.3161495692183191,0.4721532954586362
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,trace,75.45908678144175,75.63758482334035,0.4342465111302255,True,0.21169713532304477,0.3161495692183191,0.4721532954586362
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,pos_mask,75.45908678144175,75.44654352629485,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,pos_wiener,75.45908678144175,50.299803144718254,,,,,
s1_3100,1,simulated,lossless_rgb,ffv1,,bgr0,True,1.0,5,physnet,75.45908678144175,75.62792677107089,0.46455354748572997,,,,
