method,codec,coef,ci_low,ci_high,p,boot_low,boot_high,log_coef,log_p,n_subjects,gap_lossless,gap_lowest
green,h264,0.34500733847821663,0.1330433179094186,0.5569713590470147,0.0014218750476603609,0.12593887359370493,0.5902883422916002,0.019467575675639774,0.0023200892996974635,36,4.140805799741315,3.612845841968632
green,h265,0.05159986138107237,-0.15252283463827926,0.255722557400424,0.6202780819182927,-0.17609069605326888,0.30082008565908225,0.00099017757956939,0.8542069708385134,36,4.140805799741315,3.977570703630274
green,vp9,0.100868004449747,-0.14237579854837792,0.34411180744787195,0.41635844903659125,-0.1446494291874695,0.34186228590249906,0.008889537212207718,0.20270028178179,36,4.140805799741315,4.129952905218392
ica,h264,0.37035658089063084,-0.13729883734717485,0.8780119991284365,0.15275189821189697,-0.19567001997192432,0.9994843935096833,0.0310436105426359,0.2894471158908418,36,-2.8690670622449783,1.9597650689892738
ica,h265,-0.29582895961854655,-0.7686737359487905,0.17701581671169742,0.22011399951283817,-0.7298760727189944,0.1257974425272572,0.018964529650068982,0.4966364579411249,36,-2.8690670622449783,3.690320088533465
ica,vp9,0.9175910678876392,0.17517135701631903,1.6600107787589593,0.015417914963384299,0.059396167302951344,1.794183759836429,0.12104737168886007,0.012736253398930647,36,-2.8690670622449783,3.965477580812692
chrom,h264,1.4874433145320813,0.7657750240791155,2.209111604985047,5.351584097299353e-05,0.4331087963058876,2.3499125515824355,0.1667494821582908,8.704581906058757e-09,36,9.967140403570264,2.385303149620441
chrom,h265,0.1335316579038769,-0.5157039569900626,0.7827672727978163,0.6868629176813962,-0.6087527685717852,1.1156329525844302,0.03811700592134638,0.09325804403585342,36,9.967140403570264,6.474786337796537
chrom,vp9,2.2733696771613108,1.5103709142276045,3.036368440095017,5.227893869574013e-09,1.2064235153521885,3.3100382508923305,0.24967251707265573,2.0230466373537614e-13,36,9.967140403570264,3.429458311308963
pos,h264,0.3995486450986673,-0.5719161238054994,1.3710134140028338,0.42018328990905784,-0.7665160008132341,1.6505424460784823,0.1168196601181486,0.009538545938957426,36,8.757050021364318,4.447075640425627
pos,h265,-0.21283793438641843,-1.064115742165071,0.6384398733922342,0.6241101584199558,-1.033344256291834,0.57990766451716,0.042825207275610885,0.2182571958756543,36,8.757050021364318,6.058109217926301
pos,vp9,0.18269739005210703,-0.9891853255275543,1.3545801056317683,0.7599397956585268,-1.2344127586442637,1.5672324096752623,0.0945901268946324,0.10131057914366755,36,8.757050021364318,6.327060745151144
pos_mask,h264,0.8654939070405084,-0.6719049514016603,2.4028927654826773,0.2698616886415638,-0.624802369766331,2.4790137730664066,0.0704217410365094,0.17648864910809614,36,4.081651910401366,1.2649343732345173
pos_mask,h265,0.3610715600467665,-0.7578142065582603,1.4799573266517931,0.5270648754804199,-0.780217808702771,1.4219138301933358,0.04481169411039291,0.311457727579185,36,4.081651910401366,4.362485361010977
pos_mask,vp9,0.9677843953316005,-0.504480465035338,2.440049255698539,0.19761703553949617,-0.4457534021453274,2.3888507395461245,0.14845703332772844,0.0473662408893885,36,4.081651910401366,3.075214848323821
pos_wiener,h264,0.5502121176318556,-0.45617226592539695,1.5565965011891083,0.2839200812474656,-0.648152819631486,1.79415748146476,0.1329365239163185,0.00443918428936807,36,9.022581865979095,4.3228195163801395
pos_wiener,h265,-0.2903653954973325,-1.1444883367755794,0.5637575457809145,0.5052166707733087,-1.076820101617254,0.5076130866676644,0.035171979679510045,0.33633369740759766,36,9.022581865979095,6.035401117780607
pos_wiener,vp9,0.04792205738833754,-1.1478388030918398,1.2436829178685147,0.93739156262909,-1.3773047658275115,1.4375281400840694,0.089605933392628,0.12450041733505274,36,9.022581865979095,6.7761541453799765
trace_v1,h264,1.1384351237367447,0.6653044343413614,1.611565813132128,2.405076801013391e-06,0.538022747574619,1.7667389669192473,0.15275914281006944,2.1678063308357738e-07,36,7.280558332623402,2.975625418862524
trace_v1,h265,0.2819676581310746,-0.032783089992482306,0.5967184062546316,0.07911871622788504,-0.04589705819899114,0.6400879013540888,0.06472535186284974,0.0011188192098333333,36,7.280558332623402,4.7436616935640785
trace_v1,vp9,1.359095364427563,0.7854453700432362,1.9327453588118897,3.424570633223917e-06,0.510951373813409,2.120700485265295,0.1522321913583256,2.509527781755086e-06,36,7.280558332623402,3.5336031093195786
trace_v2,h264,0.7461652996086728,-0.382896772628044,1.8752273718453898,0.19522194779928914,-0.6392739807974015,2.201168483898329,0.12297227604318332,0.00781502631033992,36,4.298347631002365,4.914737082546878
trace_v2,h265,0.8128264099591597,-0.3033358585576412,1.9289886784759607,0.15349032153399536,-0.2897872391736347,1.9820603626078261,0.06195309869562858,0.12867304238682373,36,4.298347631002365,4.737614142000494
trace_v2,vp9,1.10117538222227,-0.26618468655967287,2.468535451004213,0.11446989059285667,-0.7061575710400361,2.884719865804535,0.14903593856820752,0.09863966015230023,36,4.298347631002365,1.4322058710664507
physnet,h264,-0.38034552319356835,-0.9279599745442193,0.16726892815708255,0.17342122510829194,-1.0087320362683374,0.2475803303275481,-0.018468174557197632,0.1899119895752469,36,8.18965012322834,1.4097054749793116
factorizephys,h264,0.4289622346696225,-0.1473217939341162,1.0052462632733612,0.14458797048275918,-0.05850895948303111,0.9423199355200637,0.045049718597623065,0.009967873170639364,36,9.56896348379875,4.2642484447402005
